transaction_id,manga_title,genre,condition,payment_method,customer_type,publisher,price,quantity,volume_number,transaction_date,restock_date
TXN-00038,Attack on Titan,Mystery,Second-Hand,GCash,Online,Shueisha,93.95,3,19,2023-06-09,2023-05-26
TXN-00039,JoJo's Bizarre Adventure,Action,Second-Hand,Maya,Online,Viz Media,357.9,5,7,2023-08-09,2023-07-16
TXN-00040,Attack on Titan,Comedy,Second-Hand,Credit Card,Online,Shueisha,248.07,3,28,2023-12-11,2023-11-30
TXN-00041,Dragon Ball,Slice of Life,Second-Hand,GCash,Walk-in,Shueisha,104.92,2,43,2023-04-15,2023-03-26
TXN-00042,Mob Psycho 100,Comedy,Second-Hand,Cash,Walk-in,Dark Horse,272.83,4,5,2023-04-05,2023-03-27
TXN-00043,One Piece,Horror,Brand New,GCash,Walk-in,Seven Seas,65.47,1,5,2024-01-25,2024-01-24
TXN-00044,Tokyo Ghoul,Horror,Brand New,Debit Card,Walk-in,Kadokawa,459.19,4,30,2023-04-10,2023-04-07
TXN-00045,Jujutsu Kaisen,Slice of Life,Brand New,GCash,Walk-in,Yen Press,166.45,5,32,2024-01-03,2023-12-26
TXN-00046,Vinland Saga,Comedy,Brand New,GCash,Online,Dark Horse,348.14,1,8,2023-12-19,2023-11-27
TXN-00047,Chainsaw Man,Sports,Second-Hand,Cash,Walk-in,Seven Seas,190.27,5,10,2024-09-10,2024-08-14
TXN-00048,Tokyo Ghoul,Horror,Brand New,Cash,Walk-in,Kodansha,284.03,2,38,2023-09-28,2023-08-31
TXN-00049,My Hero Academia,Horror,Brand New,Maya,Walk-in,Shueisha,296.02,1,47,2023-02-14,2023-01-26
TXN-00050,Attack on Titan,Romance,Brand New,GCash,Walk-in,Kodansha,133.18,5,32,2024-04-15,2024-03-27
TXN-00051,JoJo's Bizarre Adventure,Comedy,Second-Hand,Credit Card,Walk-in,Seven Seas,486.31,2,48,2024-07-03,2024-07-02
TXN-00052,One-Punch Man,Horror,Brand New,Cash,Online,Dark Horse,398.81,4,28,2023-05-08,2023-04-13
TXN-00053,Fullmetal Alchemist,Sci-Fi,Second-Hand,Credit Card,Online,Kadokawa,472.77,2,17,2024-01-23,2024-01-01
TXN-00054,Spy x Family,Comedy,Brand New,Maya,Online,Dark Horse,452.67,3,31,2023-03-22,2023-02-23
TXN-00055,Chainsaw Man,Mystery,Brand New,GCash,Walk-in,Kadokawa,319.05,2,8,2024-07-19,2024-07-10
TXN-00056,Demon Slayer,Romance,Brand New,Cash,Walk-in,Kadokawa,464.84,2,40,2023-10-28,2023-10-09
TXN-00057,JoJo's Bizarre Adventure,Horror,Brand New,GCash,Walk-in,Seven Seas,89.82,3,25,2024-10-05,2024-10-03
TXN-00058,Mob Psycho 100,Romance,Second-Hand,Credit Card,Online,Viz Media,138.19,5,9,2024-09-25,2024-08-31
TXN-00059,Mob Psycho 100,Mystery,Second-Hand,GCash,Online,Seven Seas,70.35,5,2,2024-01-06,2023-12-12
TXN-00060,Berserk,Slice of Life,Brand New,Debit Card,Walk-in,Shueisha,196.4,2,15,2024-08-14,2024-08-08
TXN-00061,Chainsaw Man,Slice of Life,Brand New,Credit Card,Walk-in,Dark Horse,224.9,3,3,2023-07-16,2023-06-30
TXN-00062,Chainsaw Man,Comedy,Brand New,Debit Card,Walk-in,Kadokawa,172.11,3,49,2024-12-22,2024-12-05
TXN-00063,One-Punch Man,Mystery,Second-Hand,Credit Card,Online,Seven Seas,422.93,4,36,2023-03-13,2023-02-20
TXN-00064,Demon Slayer,Fantasy,Second-Hand,Cash,Online,Seven Seas,210.54,5,4,2023-02-16,2023-02-01
TXN-00065,Dragon Ball,Fantasy,Brand New,GCash,Online,Dark Horse,176.42,1,14,2024-11-08,2024-10-09
TXN-00066,Demon Slayer,Comedy,Brand New,Cash,Walk-in,Dark Horse,294.21,5,41,2023-08-22,2023-08-13
TXN-00067,Tokyo Ghoul,Action,Second-Hand,Maya,Walk-in,Kadokawa,113.42,5,41,2023-10-24,2023-10-18
TXN-00068,Naruto,Romance,Brand New,Credit Card,Walk-in,Yen Press,410.99,4,25,2023-03-23,2023-03-04
TXN-00069,Vinland Saga,Romance,Brand New,Credit Card,Walk-in,Kodansha,83.55,1,10,2023-08-27,2023-08-13
TXN-00070,Tokyo Ghoul,Slice of Life,Brand New,GCash,Walk-in,Shueisha,494.1,4,21,2023-04-14,2023-03-24
TXN-00071,Mob Psycho 100,Fantasy,Brand New,Cash,Online,Shueisha,397.51,1,36,2024-01-25,2023-12-29
TXN-00072,Black Clover,Drama,Second-Hand,Credit Card,Online,Yen Press,139.42,2,12,2023-10-12,2023-09-26
TXN-00073,JoJo's Bizarre Adventure,Horror,Second-Hand,GCash,Walk-in,Viz Media,52.48,1,27,2024-04-09,2024-04-06
TXN-00074,Mob Psycho 100,Horror,Brand New,Cash,Online,Yen Press,416.96,4,40,2024-10-12,2024-09-26
TXN-00075,Spy x Family,Horror,Brand New,Credit Card,Walk-in,Viz Media,368.09,5,2,2024-01-09,2023-12-28
TXN-00076,Black Clover,Slice of Life,Brand New,Cash,Walk-in,Viz Media,378.05,1,13,2023-06-16,2023-06-02
TXN-00077,Mob Psycho 100,Mystery,Brand New,GCash,Walk-in,Yen Press,397.07,1,32,2024-01-15,2024-01-04
TXN-00078,Vinland Saga,Sports,Brand New,GCash,Walk-in,Shueisha,83.32,3,31,2023-12-30,2023-12-19
TXN-00079,Vinland Saga,Fantasy,Brand New,Cash,Walk-in,Kodansha,211.31,5,16,2023-08-03,2023-07-12
TXN-00080,Dragon Ball,Fantasy,Brand New,Maya,Walk-in,Shueisha,102.14,2,32,2024-11-17,2024-11-13
TXN-00081,My Hero Academia,Drama,Brand New,Cash,Walk-in,Seven Seas,438.4,4,32,2023-10-01,2023-09-03
TXN-00082,Jujutsu Kaisen,Romance,Brand New,Cash,Online,Shueisha,330.48,2,34,2024-12-19,2024-12-13
TXN-00083,Bleach,Action,Brand New,Cash,Walk-in,Shueisha,198.9,5,11,2024-11-30,2024-11-19
TXN-00084,Berserk,Comedy,Brand New,Credit Card,Walk-in,Yen Press,78.6,1,10,2024-10-25,2024-10-11
TXN-00085,Fullmetal Alchemist,Romance,Brand New,GCash,Walk-in,Yen Press,189.94,1,15,2023-03-15,2023-02-20
TXN-00086,Death Note,Mystery,Second-Hand,GCash,Online,Seven Seas,196.33,5,17,2024-09-15,2024-08-30
TXN-00087,One-Punch Man,Comedy,Brand New,Cash,Walk-in,Seven Seas,378.32,1,40,2024-10-12,2024-10-02
TXN-00088,Jujutsu Kaisen,Fantasy,Brand New,Cash,Online,Yen Press,336.9,1,18,2023-06-25,2023-06-03
TXN-00089,JoJo's Bizarre Adventure,Mystery,Second-Hand,GCash,Walk-in,Shueisha,449.25,1,9,2024-06-30,2024-06-17
TXN-00090,JoJo's Bizarre Adventure,Comedy,Second-Hand,Debit Card,Walk-in,Kodansha,262.5,4,25,2023-09-08,2023-08-12
TXN-00091,JoJo's Bizarre Adventure,Drama,Brand New,Debit Card,Online,Viz Media,103.82,4,40,2023-06-17,2023-05-23
TXN-00092,Naruto,Drama,Second-Hand,Cash,Walk-in,Dark Horse,370.96,3,14,2024-04-18,2024-03-31
TXN-00093,Death Note,Sci-Fi,Brand New,GCash,Walk-in,Viz Media,392.35,2,25,2024-01-24,2024-01-22
TXN-00094,Mob Psycho 100,Sports,Brand New,Maya,Walk-in,Seven Seas,302.57,5,22,2023-10-04,2023-09-19
TXN-00095,Demon Slayer,Drama,Brand New,GCash,Online,Seven Seas,396.94,5,30,2024-10-17,2024-10-14
TXN-00096,Bleach,Fantasy,Second-Hand,Debit Card,Walk-in,Viz Media,272.21,5,20,2024-12-05,2024-11-24
TXN-00097,Attack on Titan,Action,Second-Hand,Cash,Walk-in,Dark Horse,285.23,3,21,2024-07-24,2024-07-15
TXN-00098,Jujutsu Kaisen,Horror,Brand New,Maya,Online,Shueisha,242.39,4,44,2023-08-13,2023-08-02
TXN-00099,Vinland Saga,Sci-Fi,Brand New,Credit Card,Walk-in,Kodansha,61.44,3,32,2024-12-02,2024-11-28
TXN-00100,Spy x Family,Horror,Brand New,Maya,Online,Kodansha,98.55,5,46,2023-11-29,2023-11-04
TXN-00101,Berserk,Sports,Brand New,Credit Card,Online,Viz Media,64.14,2,49,2023-02-27,2023-02-14
TXN-00102,Black Clover,Comedy,Brand New,GCash,Walk-in,Dark Horse,336.38,1,21,2023-08-23,2023-07-26
TXN-00103,Tokyo Ghoul,Slice of Life,Second-Hand,Maya,Walk-in,Seven Seas,191.46,4,35,2023-02-02,2023-01-16
TXN-00104,Bleach,Drama,Second-Hand,Cash,Walk-in,Kadokawa,278.86,4,32,2023-11-20,2023-10-24
TXN-00105,Hunter x Hunter,Action,Second-Hand,GCash,Online,Shueisha,458.4,3,30,2024-02-15,2024-02-14
TXN-00106,Hunter x Hunter,Sports,Second-Hand,Credit Card,Online,Viz Media,162.18,4,39,2023-10-02,2023-09-10
TXN-00107,Berserk,Horror,Brand New,Credit Card,Online,Kodansha,234.67,5,49,2023-03-09,2023-02-09
TXN-00108,Chainsaw Man,Sci-Fi,Second-Hand,Maya,Online,Seven Seas,390.0,5,12,2023-08-05,2023-07-18
TXN-00109,One Piece,Drama,Brand New,Cash,Online,Yen Press,152.96,3,41,2024-08-03,2024-07-19
TXN-00110,Fullmetal Alchemist,Fantasy,Brand New,Credit Card,Walk-in,Yen Press,84.64,5,47,2023-11-19,2023-11-05
TXN-00111,Bleach,Drama,Brand New,Credit Card,Walk-in,Dark Horse,180.39,2,18,2023-08-06,2023-08-04
TXN-00112,Vinland Saga,Sci-Fi,Brand New,Cash,Online,Dark Horse,122.55,3,21,2024-11-02,2024-10-26
TXN-00113,Bleach,Sci-Fi,Brand New,GCash,Walk-in,Viz Media,468.36,2,13,2024-05-26,2024-05-09
TXN-00114,Mob Psycho 100,Slice of Life,Brand New,Cash,Walk-in,Kadokawa,413.65,1,21,2024-02-10,2024-01-29
TXN-00115,Black Clover,Drama,Second-Hand,GCash,Online,Kodansha,335.03,2,8,2024-10-20,2024-09-30
TXN-00116,Death Note,Drama,Brand New,Maya,Walk-in,Viz Media,442.16,1,46,2024-04-14,2024-03-20
TXN-00117,JoJo's Bizarre Adventure,Slice of Life,Brand New,Credit Card,Online,Kadokawa,411.65,1,40,2023-05-27,2023-05-11
TXN-00118,Death Note,Mystery,Second-Hand,Credit Card,Online,Seven Seas,133.96,2,46,2023-09-29,2023-09-08
TXN-00119,My Hero Academia,Mystery,Brand New,Maya,Walk-in,Dark Horse,451.65,3,7,2023-05-23,2023-05-08
TXN-00120,My Hero Academia,Comedy,Brand New,GCash,Online,Yen Press,292.7,5,23,2023-09-10,2023-08-16
TXN-00121,Bleach,Mystery,Brand New,Debit Card,Walk-in,Shueisha,413.35,5,44,2024-07-28,2024-07-26
TXN-00122,Naruto,Romance,Brand New,GCash,Walk-in,Seven Seas,453.24,1,32,2024-07-05,2024-06-28
TXN-00123,Dragon Ball,Drama,Brand New,Debit Card,Walk-in,Yen Press,193.1,1,11,2023-09-27,2023-09-18
TXN-00124,Attack on Titan,Action,Brand New,Cash,Walk-in,Kodansha,99.52,3,22,2024-08-21,2024-08-03
TXN-00125,Naruto,Drama,Brand New,Maya,Walk-in,Kodansha,152.57,4,22,2024-03-14,2024-03-09
TXN-00126,Vinland Saga,Romance,Brand New,Cash,Walk-in,Yen Press,242.2,2,43,2024-08-20,2024-07-21
TXN-00127,Attack on Titan,Romance,Brand New,GCash,Walk-in,Seven Seas,418.11,1,25,2024-02-13,2024-02-03
TXN-00128,Jujutsu Kaisen,Horror,Brand New,Credit Card,Walk-in,Yen Press,437.33,5,22,2024-01-06,2023-12-22
TXN-00129,Death Note,Drama,Brand New,GCash,Online,Kadokawa,53.13,3,28,2023-08-13,2023-07-15
TXN-00130,Death Note,Sports,Second-Hand,Credit Card,Online,Viz Media,279.84,2,29,2023-05-22,2023-04-29
TXN-00131,Attack on Titan,Romance,Brand New,GCash,Walk-in,Dark Horse,237.83,3,13,2024-06-05,2024-05-20
TXN-00132,Fullmetal Alchemist,Action,Brand New,Credit Card,Walk-in,Kadokawa,149.95,2,18,2024-05-20,2024-05-16
TXN-00133,Naruto,Slice of Life,Second-Hand,Cash,Walk-in,Shueisha,103.94,2,2,2023-04-04,2023-04-03
TXN-00134,Dragon Ball,Comedy,Brand New,Cash,Walk-in,Yen Press,201.93,1,29,2023-02-18,2023-01-28
TXN-00135,Bleach,Horror,Brand New,Cash,Online,Shueisha,474.31,3,21,2023-04-23,2023-04-03
TXN-00136,One Piece,Slice of Life,Brand New,GCash,Online,Shueisha,195.44,3,15,2023-06-06,2023-05-11
TXN-00137,Death Note,Horror,Second-Hand,Cash,Walk-in,Kadokawa,283.46,5,27,2024-10-04,2024-09-26
TXN-00138,Fullmetal Alchemist,Action,Second-Hand,GCash,Walk-in,Dark Horse,366.36,5,31,2023-06-13,2023-05-21
TXN-00139,One Piece,Sci-Fi,Brand New,GCash,Walk-in,Seven Seas,213.63,1,15,2024-11-27,2024-11-21
TXN-00140,Spy x Family,Drama,Second-Hand,Cash,Online,Kodansha,487.3,1,23,2024-03-08,2024-02-27
TXN-00141,Spy x Family,Fantasy,Brand New,GCash,Walk-in,Viz Media,483.1,4,24,2024-09-02,2024-08-15
TXN-00142,Dragon Ball,Sports,Brand New,Debit Card,Online,Kodansha,163.3,5,44,2023-03-07,2023-03-06
TXN-00143,Demon Slayer,Slice of Life,Brand New,Cash,Online,Dark Horse,273.76,2,13,2024-01-30,2024-01-12
TXN-00144,Tokyo Ghoul,Drama,Brand New,GCash,Walk-in,Kodansha,185.4,3,22,2024-01-26,2024-01-12
TXN-00145,Bleach,Sports,Second-Hand,Credit Card,Online,Yen Press,178.18,1,43,2024-09-02,2024-08-30
TXN-00146,Death Note,Sci-Fi,Brand New,GCash,Online,Yen Press,66.6,3,37,2024-04-24,2024-04-16
TXN-00147,Bleach,Fantasy,Brand New,Credit Card,Online,Kadokawa,324.3,3,33,2024-06-25,2024-05-29
TXN-00148,Spy x Family,Sports,Second-Hand,GCash,Walk-in,Shueisha,276.21,4,3,2023-09-15,2023-08-16
TXN-00149,Jujutsu Kaisen,Sports,Brand New,GCash,Walk-in,Dark Horse,73.17,5,19,2024-07-20,2024-07-16
TXN-00150,Jujutsu Kaisen,Slice of Life,Brand New,Cash,Online,Dark Horse,175.39,1,23,2023-01-12,2022-12-28
TXN-00151,One Piece,Mystery,Brand New,Credit Card,Online,Kodansha,458.72,3,29,2024-11-27,2024-11-23
TXN-00152,Jujutsu Kaisen,Fantasy,Second-Hand,Credit Card,Online,Kadokawa,157.8,1,30,2023-04-28,2023-04-07
TXN-00153,Mob Psycho 100,Drama,Second-Hand,Cash,Online,Kodansha,115.2,2,39,2024-11-29,2024-11-02
TXN-00154,Demon Slayer,Sci-Fi,Brand New,GCash,Online,Kodansha,270.25,4,44,2024-07-03,2024-06-28
TXN-00155,Berserk,Fantasy,Second-Hand,Maya,Online,Dark Horse,493.54,2,47,2023-10-01,2023-09-15
TXN-00156,One Piece,Action,Brand New,GCash,Walk-in,Kodansha,158.92,1,25,2024-10-18,2024-09-18
TXN-00157,Death Note,Mystery,Second-Hand,GCash,Walk-in,Shueisha,352.46,1,37,2023-12-15,2023-11-22
TXN-00158,JoJo's Bizarre Adventure,Action,Brand New,Maya,Online,Kodansha,392.73,5,47,2023-04-25,2023-04-15
TXN-00159,One Piece,Sci-Fi,Brand New,Credit Card,Online,Shueisha,156.94,3,8,2023-10-28,2023-10-11
TXN-00160,Hunter x Hunter,Slice of Life,Second-Hand,GCash,Online,Dark Horse,377.7,3,42,2024-03-21,2024-02-27
TXN-00161,Berserk,Slice of Life,Brand New,Credit Card,Walk-in,Kadokawa,215.5,2,16,2023-06-11,2023-06-02
TXN-00162,Demon Slayer,Sci-Fi,Brand New,Debit Card,Online,Yen Press,334.54,4,8,2024-04-09,2024-03-26
TXN-00163,One Piece,Horror,Brand New,GCash,Online,Shueisha,335.09,3,1,2023-01-04,2022-12-08
TXN-00164,One Piece,Sci-Fi,Second-Hand,GCash,Walk-in,Kadokawa,291.1,5,44,2023-09-27,2023-09-11
TXN-00165,Jujutsu Kaisen,Mystery,Brand New,GCash,Walk-in,Kadokawa,90.63,2,5,2024-05-27,2024-05-11
TXN-00166,Vinland Saga,Romance,Brand New,Maya,Walk-in,Shueisha,425.89,2,3,2023-07-02,2023-06-24
TXN-00167,One Piece,Slice of Life,Brand New,Credit Card,Walk-in,Dark Horse,194.35,5,1,2024-06-03,2024-05-19
TXN-00168,My Hero Academia,Comedy,Brand New,Cash,Walk-in,Viz Media,133.93,4,4,2023-04-19,2023-04-01
TXN-00169,Bleach,Mystery,Brand New,Debit Card,Walk-in,Kadokawa,68.35,5,40,2024-10-02,2024-09-27
TXN-00170,Death Note,Mystery,Second-Hand,GCash,Walk-in,Kadokawa,315.9,4,35,2023-11-02,2023-10-20
TXN-00171,Spy x Family,Mystery,Second-Hand,Cash,Online,Dark Horse,354.9,5,32,2024-10-16,2024-10-09
TXN-00172,My Hero Academia,Sports,Brand New,GCash,Online,Dark Horse,57.46,5,42,2024-06-03,2024-05-04
TXN-00173,My Hero Academia,Mystery,Brand New,GCash,Online,Kodansha,280.44,1,34,2024-09-15,2024-08-26
TXN-00174,Naruto,Slice of Life,Brand New,Debit Card,Walk-in,Dark Horse,151.92,2,43,2023-07-23,2023-07-06
TXN-00175,JoJo's Bizarre Adventure,Romance,Brand New,Cash,Walk-in,Kadokawa,340.33,5,25,2023-06-06,2023-05-13
TXN-00176,Fullmetal Alchemist,Romance,Second-Hand,Debit Card,Online,Shueisha,128.46,5,10,2024-01-18,2023-12-20
TXN-00177,Jujutsu Kaisen,Mystery,Brand New,GCash,Walk-in,Viz Media,360.92,3,21,2023-06-15,2023-06-10
TXN-00178,Mob Psycho 100,Action,Brand New,Cash,Online,Seven Seas,224.03,2,46,2024-07-06,2024-06-08
TXN-00179,Mob Psycho 100,Slice of Life,Second-Hand,Maya,Online,Kodansha,471.53,3,39,2024-06-27,2024-06-24
TXN-00180,JoJo's Bizarre Adventure,Slice of Life,Brand New,GCash,Walk-in,Seven Seas,111.88,2,27,2023-01-01,2022-12-23
TXN-00181,Hunter x Hunter,Fantasy,Brand New,Cash,Online,Shueisha,203.48,3,27,2024-09-05,2024-08-11
TXN-00182,Hunter x Hunter,Drama,Brand New,GCash,Walk-in,Viz Media,101.06,5,2,2023-11-28,2023-11-02
TXN-00183,Dragon Ball,Horror,Second-Hand,Debit Card,Walk-in,Viz Media,466.11,5,41,2024-05-15,2024-04-17
TXN-00184,Death Note,Horror,Second-Hand,GCash,Online,Viz Media,444.8,1,48,2023-01-20,2023-01-06
TXN-00185,One-Punch Man,Action,Brand New,Cash,Walk-in,Yen Press,166.07,3,13,2023-04-25,2023-04-14
TXN-00186,One-Punch Man,Horror,Second-Hand,Cash,Online,Shueisha,346.99,4,9,2024-01-07,2023-12-08
TXN-00187,Black Clover,Fantasy,Brand New,Cash,Walk-in,Kodansha,417.75,1,36,2023-11-11,2023-10-16
TXN-00188,Spy x Family,Sci-Fi,Brand New,Credit Card,Walk-in,Kodansha,299.84,3,22,2023-09-03,2023-08-17
TXN-00189,Black Clover,Horror,Brand New,GCash,Online,Viz Media,288.34,3,42,2023-03-01,2023-02-20
TXN-00190,Spy x Family,Slice of Life,Brand New,Cash,Online,Shueisha,158.83,1,26,2023-09-04,2023-08-08
TXN-00191,One-Punch Man,Sci-Fi,Brand New,Cash,Walk-in,Yen Press,91.9,5,12,2024-08-03,2024-08-02
TXN-00192,Vinland Saga,Horror,Brand New,GCash,Walk-in,Viz Media,453.75,3,17,2023-03-22,2023-03-12
TXN-00193,Dragon Ball,Slice of Life,Brand New,Maya,Online,Dark Horse,455.19,5,14,2023-03-29,2023-03-05
TXN-00194,Jujutsu Kaisen,Slice of Life,Brand New,GCash,Walk-in,Seven Seas,334.9,1,14,2024-05-12,2024-05-02
TXN-00195,Death Note,Mystery,Brand New,Maya,Online,Kodansha,202.56,5,34,2023-03-12,2023-02-13
TXN-00196,Black Clover,Romance,Second-Hand,GCash,Online,Seven Seas,207.14,2,20,2024-06-29,2024-06-10
TXN-00197,Chainsaw Man,Action,Brand New,Cash,Online,Kadokawa,376.68,4,11,2023-05-09,2023-04-20
TXN-00198,Spy x Family,Fantasy,Brand New,Debit Card,Online,Viz Media,453.7,3,16,2023-05-12,2023-04-20
TXN-00199,One Piece,Sports,Brand New,GCash,Walk-in,Dark Horse,449.19,4,31,2024-11-06,2024-10-21
TXN-00200,Black Clover,Drama,Brand New,Credit Card,Online,Kodansha,400.94,5,6,2024-05-01,2024-04-03
TXN-00201,One Piece,Horror,Second-Hand,Maya,Online,Seven Seas,338.91,3,19,2024-07-16,2024-07-11
TXN-00202,Tokyo Ghoul,Horror,Brand New,Cash,Walk-in,Yen Press,87.86,5,37,2023-06-19,2023-06-04
TXN-00203,Fullmetal Alchemist,Sci-Fi,Brand New,Cash,Online,Shueisha,122.73,2,4,2023-09-29,2023-09-11
TXN-00204,Chainsaw Man,Sci-Fi,Second-Hand,Credit Card,Walk-in,Kodansha,454.35,1,47,2024-06-24,2024-06-08
TXN-00205,JoJo's Bizarre Adventure,Drama,Brand New,Cash,Walk-in,Seven Seas,322.89,3,4,2024-09-13,2024-09-01
TXN-00206,Vinland Saga,Horror,Brand New,Cash,Walk-in,Shueisha,54.14,2,20,2024-03-09,2024-02-27
TXN-00207,JoJo's Bizarre Adventure,Comedy,Brand New,Cash,Online,Seven Seas,95.66,2,10,2023-08-05,2023-07-18
TXN-00208,Black Clover,Fantasy,Second-Hand,Cash,Walk-in,Shueisha,348.58,3,24,2024-07-06,2024-06-11
TXN-00209,Demon Slayer,Horror,Brand New,Credit Card,Online,Yen Press,52.28,5,35,2024-12-07,2024-11-19
TXN-00210,JoJo's Bizarre Adventure,Romance,Brand New,Cash,Online,Yen Press,122.36,2,26,2023-07-25,2023-07-12
TXN-00211,Black Clover,Drama,Brand New,GCash,Walk-in,Viz Media,296.93,4,37,2024-12-31,2024-12-16
TXN-00212,Death Note,Comedy,Brand New,Credit Card,Walk-in,Viz Media,361.35,2,38,2023-11-16,2023-10-17
TXN-00213,Fullmetal Alchemist,Fantasy,Brand New,GCash,Online,Kodansha,343.38,5,21,2024-02-13,2024-02-02
TXN-00214,Demon Slayer,Horror,Brand New,Cash,Walk-in,Yen Press,150.92,5,40,2024-11-18,2024-10-21
TXN-00215,Attack on Titan,Sports,Brand New,Credit Card,Online,Dark Horse,370.48,4,39,2024-10-27,2024-10-20
TXN-00216,Chainsaw Man,Mystery,Second-Hand,Cash,Walk-in,Seven Seas,156.76,2,21,2024-01-18,2023-12-26
TXN-00217,Tokyo Ghoul,Romance,Second-Hand,Credit Card,Walk-in,Seven Seas,196.43,5,10,2024-03-24,2024-03-16
TXN-00218,Naruto,Sports,Brand New,Debit Card,Online,Seven Seas,385.92,3,38,2024-06-13,2024-05-25
